,Vectors,Lang
47,"[[-576.28046    -561.9436     -556.4835     ...    0.
     0.            0.        ]
 [  19.649796     38.82611      45.47648    ...    0.
     0.            0.        ]
 [  17.668852     33.74484      37.4937     ...    0.
     0.            0.        ]
 ...
 [  -0.69092476    0.8415625    -2.8667428  ...    0.
     0.            0.        ]
 [   2.035753      1.8480055    -1.5191791  ...    0.
     0.            0.        ]
 [   4.362086      2.6154833     0.91314524 ...    0.
     0.            0.        ]]",Gujrathi
48,"[[-5.9761090e+02 -5.9530396e+02 -5.9322632e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.0591393e-01  3.9623923e+00  6.8270369e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 7.4535227e-01  3.5922384e+00  6.2426958e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-4.1329220e-01 -1.0753305e+00 -1.6190908e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.4423810e-01 -5.4354465e-01 -1.0578638e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.7417058e-01 -6.6687703e-02 -6.0670960e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
49,"[[-297.97305   -240.4243    -257.20148   ...    0.           0.
     0.       ]
 [ 103.85194    100.81322     85.36064   ...    0.           0.
     0.       ]
 [ -58.585064   -55.78737    -62.04976   ...    0.           0.
     0.       ]
 ...
 [   6.4590673   10.255072    13.013076  ...    0.           0.
     0.       ]
 [  19.63952     22.07318     22.510973  ...    0.           0.
     0.       ]
 [   4.1072454    6.8940477    9.053095  ...    0.           0.
     0.       ]]",Gujrathi
50,"[[-607.5311    -511.42148   -492.9562    ...    0.           0.
     0.       ]
 [  51.50189     63.105152    66.41184   ...    0.           0.
     0.       ]
 [ -16.39575    -10.009684    -9.541573  ...    0.           0.
     0.       ]
 ...
 [  14.039273     6.133456     1.6616092 ...    0.           0.
     0.       ]
 [ -17.50227    -16.563156   -13.150795  ...    0.           0.
     0.       ]
 [ -10.015839    -4.2099376   -3.1183918 ...    0.           0.
     0.       ]]",Gujrathi
51,"[[-3.8606400e+02 -2.5786365e+02 -2.3848578e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.0815370e+02  9.3302605e+01  9.0293076e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.5139683e+01 -4.1448372e+01 -4.8516525e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-1.8338943e+00 -2.6899562e+00 -1.2718655e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.5538847e+00 -4.1800885e+00 -4.3156528e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-4.6509199e+00  1.7568043e-01  6.1262550e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
52,"[[-166.01807    -43.41948     -3.1396    ...    0.           0.
     0.       ]
 [ 118.75557     86.36909     51.28854   ...    0.           0.
     0.       ]
 [ -60.14229    -64.093704   -71.62993   ...    0.           0.
     0.       ]
 ...
 [  22.378092    21.958313    10.407654  ...    0.           0.
     0.       ]
 [  -6.6444087   -4.5637097  -11.605331  ...    0.           0.
     0.       ]
 [   2.7764063   -1.7851459  -12.014599  ...    0.           0.
     0.       ]]",Gujrathi
53,"[[-5.8172046e+02 -4.6753400e+02 -4.2698242e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.7690689e+01 -4.1616463e+01 -4.7245773e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-1.6557966e+00 -3.8412228e+00 -1.0180033e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-7.7573663e-01 -7.3217301e+00 -4.9016485e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.5068917e+00 -9.9698007e-01  5.5305827e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.6643028e+00  1.3063993e+00  5.1886482e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
54,"[[-5.1986981e+02 -4.1650177e+02 -4.0637329e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1572508e+02  1.3731387e+02  1.1674330e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.8939371e+01  6.8222618e+00 -7.3549426e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 2.5845561e+00 -3.5648446e+00 -8.4900169e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-2.6224247e-01 -9.3496761e+00 -1.1694416e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-6.9356089e+00 -3.3585010e+00 -6.6046762e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
55,"[[-619.83093   -544.3597    -489.15594   ...    0.           0.
     0.       ]
 [  -1.0442178   46.060226    67.80521   ...    0.           0.
     0.       ]
 [  -9.191116   -15.816185   -14.68859   ...    0.           0.
     0.       ]
 ...
 [   7.841824    10.935833    13.38333   ...    0.           0.
     0.       ]
 [  -1.5721922   -9.231677    -6.366431  ...    0.           0.
     0.       ]
 [  -5.353533    -4.5320787   -0.8810631 ...    0.           0.
     0.       ]]",Gujrathi
56,"[[-275.07947    -229.52689    -272.3705     ...    0.
     0.            0.        ]
 [ 112.74402     108.34958      86.74873    ...    0.
     0.            0.        ]
 [ -66.25035     -65.561424    -55.7107     ...    0.
     0.            0.        ]
 ...
 [  -0.50177187    1.2475657     7.1270285  ...    0.
     0.            0.        ]
 [  -9.270321     -5.179925      4.340827   ...    0.
     0.            0.        ]
 [ -10.939512    -10.508713    -14.87858    ...    0.
     0.            0.        ]]",Gujrathi
57,"[[-6.2187250e+02 -6.1599768e+02 -6.1820453e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.9047232e+00  1.6848358e+01  1.3948251e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 7.8546791e+00  1.4779889e+01  1.2479626e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.0540228e+00 -5.8046114e-01 -2.1719806e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 2.3364778e+00  9.2524117e-01 -9.8298788e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 3.2840495e+00  2.1797972e+00  5.0458312e-03 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
58,"[[-364.93866  -298.41956  -262.60263  ...    0.          0.
     0.      ]
 [  99.26297    84.51158    66.21283  ...    0.          0.
     0.      ]
 [ -33.201954  -40.503197  -49.930695 ...    0.          0.
     0.      ]
 ...
 [  27.473282   31.47726    35.72022  ...    0.          0.
     0.      ]
 [  18.927519   27.337948   46.446102 ...    0.          0.
     0.      ]
 [ -27.098583  -19.595661    8.135673 ...    0.          0.
     0.      ]]",Gujrathi
59,"[[-273.75354   -156.45049   -122.80635   ...    0.           0.
     0.       ]
 [  68.90105     71.284424    64.95912   ...    0.           0.
     0.       ]
 [-117.822296  -149.00403   -158.8179    ...    0.           0.
     0.       ]
 ...
 [  26.545227    24.70232     28.22446   ...    0.           0.
     0.       ]
 [  -4.0900645   -4.914874     2.9576283 ...    0.           0.
     0.       ]
 [  -5.9013686  -11.758169   -12.42778   ...    0.           0.
     0.       ]]",Gujrathi
60,"[[-3.8343988e+02 -3.2421698e+02 -3.2444958e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2313544e+02  1.2130022e+02  1.1463126e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-5.2189621e+01 -5.3979996e+01 -5.6753914e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 2.2002769e+00  3.2301211e+00  3.8202941e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.3896327e-01 -2.6586160e-01 -3.5021384e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 4.1632538e+00  7.9634728e+00  9.0953083e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Gujrathi
61,"[[-380.3594    -274.1651    -256.8752    ...    0.           0.
     0.       ]
 [  99.4491     115.515      107.64348   ...    0.           0.
     0.       ]
 [ -56.687347   -91.517944  -101.51136   ...    0.           0.
     0.       ]
 ...
 [  -8.225992    -7.5135045  -10.269596  ...    0.           0.
     0.       ]
 [ -16.994095   -17.51079    -18.003445  ...    0.           0.
     0.       ]
 [ -14.144218   -17.869318   -16.4481    ...    0.           0.
     0.       ]]",Gujrathi
62,"[[-613.6033    -435.60806   -227.61128   ...    0.           0.
     0.       ]
 [   0.         -41.519123    18.083565  ...    0.           0.
     0.       ]
 [   0.          59.50283     36.7491    ...    0.           0.
     0.       ]
 ...
 [   0.          -1.579515    -8.986925  ...    0.           0.
     0.       ]
 [   0.          10.934919     6.4644074 ...    0.           0.
     0.       ]
 [   0.          -7.1256685   -6.9426317 ...    0.           0.
     0.       ]]",Gujrathi
63,"[[-327.394     -270.49673   -233.6246    ...    0.           0.
     0.       ]
 [ 115.21098    117.24862    101.36012   ...    0.           0.
     0.       ]
 [ -70.876175   -69.603516   -72.49233   ...    0.           0.
     0.       ]
 ...
 [  -2.4031763    9.544716    15.86127   ...    0.           0.
     0.       ]
 [  10.537624    25.612993    25.740278  ...    0.           0.
     0.       ]
 [   6.117467    10.622422     4.9043274 ...    0.           0.
     0.       ]]",Gujrathi
64,"[[-195.66806    -153.7047     -143.5285     ...    0.
     0.            0.        ]
 [ 153.77994     135.18114     113.39072    ...    0.
     0.            0.        ]
 [-109.06993    -121.49593    -132.79248    ...    0.
     0.            0.        ]
 ...
 [  19.316765     17.32626       4.872952   ...    0.
     0.            0.        ]
 [   0.21517658    8.223082     13.145505   ...    0.
     0.            0.        ]
 [  21.822071     25.404476     36.036842   ...    0.
     0.            0.        ]]",Gujrathi
65,"[[-125.345856  -108.33474   -141.59183   ...    0.           0.
     0.       ]
 [  94.43294     89.068825    83.07497   ...    0.           0.
     0.       ]
 [-108.59221   -111.461624  -107.964386  ...    0.           0.
     0.       ]
 ...
 [  39.669533    45.514435    59.73311   ...    0.           0.
     0.       ]
 [   1.4178401    4.223716     3.0732598 ...    0.           0.
     0.       ]
 [  15.22871     15.115731     5.810862  ...    0.           0.
     0.       ]]",Gujrathi
66,"[[-377.85318   -261.75342   -256.5672    ...    0.           0.
     0.       ]
 [ 121.887146   120.10048     98.574005  ...    0.           0.
     0.       ]
 [-105.67874   -127.86453   -130.38904   ...    0.           0.
     0.       ]
 ...
 [   3.951548     9.783377    15.060852  ...    0.           0.
     0.       ]
 [   4.820835     9.7779255   12.895492  ...    0.           0.
     0.       ]
 [  17.954937    15.658912     9.71018   ...    0.           0.
     0.       ]]",Gujrathi
67,"[[-520.56067   -367.80652   -256.62396   ...    0.           0.
     0.       ]
 [ 112.133606    94.20708     94.73155   ...    0.           0.
     0.       ]
 [   8.220367   -11.053299   -43.858063  ...    0.           0.
     0.       ]
 ...
 [ -11.747295   -24.604275   -34.375214  ...    0.           0.
     0.       ]
 [   1.1556963   -0.7411965   -4.7434416 ...    0.           0.
     0.       ]
 [  -6.456276    -7.740821    -7.70718   ...    0.           0.
     0.       ]]",Gujrathi
68,"[[-6.0480334e+02 -5.4788489e+02 -4.8981952e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  2.8953033e+01  4.8127586e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -1.3274427e+01 -2.5235451e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00  4.6662817e+00  7.9500961e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -2.4695196e+00  3.8018173e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -4.6547049e-01 -6.2121301e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
69,"[[-3.8058899e+02 -2.7353128e+02 -2.2367690e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.0921637e+02  1.1677623e+02  1.0853714e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-3.6102524e+01 -7.0494598e+01 -9.1099380e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-3.1867021e-01  4.8112998e+00  9.8678532e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-6.5399718e-01 -3.3606770e+00  1.0453495e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-8.6976061e+00  2.6156123e+00  1.9107649e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
70,"[[-327.7318    -208.58717   -189.66197   ...    0.           0.
     0.       ]
 [  29.035126    10.616613     7.2016735 ...    0.           0.
     0.       ]
 [  -3.5066433   -7.088382    -8.20394   ...    0.           0.
     0.       ]
 ...
 [   2.666742     6.4652786    9.317419  ...    0.           0.
     0.       ]
 [   9.445178    17.893915    20.360538  ...    0.           0.
     0.       ]
 [  11.602688     7.5608397    1.593375  ...    0.           0.
     0.       ]]",Hindi
71,"[[-323.03354    -278.27478    -279.69296    ...    0.
     0.            0.        ]
 [ 118.62918     104.840546     80.98961    ...    0.
     0.            0.        ]
 [   6.2750444     4.4371414     0.85831064 ...    0.
     0.            0.        ]
 ...
 [ -15.102306     -8.516411      5.5500703  ...    0.
     0.            0.        ]
 [  -2.8956041     3.2267225    22.2743     ...    0.
     0.            0.        ]
 [ -10.429499      1.4773307    30.61354    ...    0.
     0.            0.        ]]",Hindi
72,"[[-315.44046   -260.65472   -165.08      ...    0.           0.
     0.       ]
 [  78.972015    54.598434    28.16849   ...    0.           0.
     0.       ]
 [ -45.332653   -41.84929    -19.678255  ...    0.           0.
     0.       ]
 ...
 [   9.805675    17.024216    -3.0598688 ...    0.           0.
     0.       ]
 [   3.665689     6.3882313   -5.057622  ...    0.           0.
     0.       ]
 [  -8.8960495   -9.028038    -5.7381897 ...    0.           0.
     0.       ]]",Hindi
73,"[[-439.99918   -269.72763   -220.73761   ...    0.           0.
     0.       ]
 [ 123.846466   170.99544    155.87332   ...    0.           0.
     0.       ]
 [  29.573292    15.082529    20.117985  ...    0.           0.
     0.       ]
 ...
 [  -3.9242597   -5.271621    -6.0249557 ...    0.           0.
     0.       ]
 [  -5.959689     0.5641096    5.7539682 ...    0.           0.
     0.       ]
 [  -6.7858276   -3.530878    -3.7441385 ...    0.           0.
     0.       ]]",Hindi
74,"[[-6.7632721e+02 -6.5435126e+02 -6.5077905e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.8848118e-02  1.6328861e+01  1.5503412e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.8737030e-02  3.4532406e+00  1.5820585e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 5.8600947e-02 -8.3188992e+00 -9.5088167e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 5.7399288e-02 -1.0515875e+00 -4.1423216e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 5.6140430e-02  8.2803164e+00  9.4093256e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
75,"[[-197.58215   -161.70348   -190.83217   ...    0.           0.
     0.       ]
 [  82.305786    73.291       94.578354  ...    0.           0.
     0.       ]
 [ -80.690506   -86.09789    -80.16786   ...    0.           0.
     0.       ]
 ...
 [  31.297998    33.28734     41.634457  ...    0.           0.
     0.       ]
 [   3.3575706    9.772943    16.864437  ...    0.           0.
     0.       ]
 [  18.168627    25.31945     21.532108  ...    0.           0.
     0.       ]]",Hindi
76,"[[-1131.3708 -1131.3708 -1131.3708 ...     0.         0.         0.    ]
 [    0.         0.         0.     ...     0.         0.         0.    ]
 [    0.         0.         0.     ...     0.         0.         0.    ]
 ...
 [    0.         0.         0.     ...     0.         0.         0.    ]
 [    0.         0.         0.     ...     0.         0.         0.    ]
 [    0.         0.         0.     ...     0.         0.         0.    ]]",Hindi
77,"[[-3.1391956e+02 -1.6909299e+02 -1.2580961e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.2900247e+02  1.0797079e+02  1.0118100e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-4.2985611e+01 -4.3984619e+01 -4.5593773e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.1766942e+00 -1.0346889e+00 -1.9267676e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.6291361e+00 -8.0499487e+00 -3.2092586e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-8.8395399e-01 -2.5470024e-01  6.3810034e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
78,"[[-716.3603    -500.7911    -325.2393    ...    0.           0.
     0.       ]
 [  26.153408   158.3901     114.00257   ...    0.           0.
     0.       ]
 [  14.454661     6.0560336  -21.050383  ...    0.           0.
     0.       ]
 ...
 [   1.2348387   10.465627    14.614468  ...    0.           0.
     0.       ]
 [  -1.3018997    4.028505    -1.1118408 ...    0.           0.
     0.       ]
 [  -4.0419674  -11.2596035    1.6459802 ...    0.           0.
     0.       ]]",Hindi
79,"[[-6.3942773e+02 -6.3935760e+02 -6.3856128e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -8.0388278e-02 -9.1676557e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  3.1113442e-02  2.0291397e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 0.0000000e+00  3.4559228e-02 -2.6416293e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00  2.6454475e-02  8.8118595e-01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 0.0000000e+00 -7.7440381e-02 -1.0156391e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
80,"[[-5.88991211e+02 -5.16065369e+02 -5.23109619e+02 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 6.16164703e+01  6.35538025e+01  7.01250305e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 3.68963242e+01  3.49550934e+01  2.98283291e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 ...
 [-2.43230343e+00 -4.62182236e+00 -2.61237144e-01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [ 8.97906780e-01 -9.84156990e+00 -1.40555105e+01 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]
 [-7.88218117e+00 -9.46208668e+00 -7.13427305e+00 ...  0.00000000e+00
   0.00000000e+00  0.00000000e+00]]",Hindi
81,"[[-230.35074    -147.29498    -165.01494    ...    0.
     0.            0.        ]
 [ 103.24562     103.47179     103.2599     ...    0.
     0.            0.        ]
 [   3.6714268     2.1580353    -3.3103714  ...    0.
     0.            0.        ]
 ...
 [  10.352813      5.9733586     1.144913   ...    0.
     0.            0.        ]
 [  16.548431     14.87802      11.158506   ...    0.
     0.            0.        ]
 [   1.7734768     0.42715442   -4.985201   ...    0.
     0.            0.        ]]",Hindi
82,"[[-415.21167   -347.42834   -267.70734   ...    0.           0.
     0.       ]
 [ 103.94448     52.76909     39.112167  ...    0.           0.
     0.       ]
 [ -11.394384     4.1912413   -2.4739068 ...    0.           0.
     0.       ]
 ...
 [  -4.436267     7.3933086   30.428694  ...    0.           0.
     0.       ]
 [  -7.6985846   -9.622616     7.2990093 ...    0.           0.
     0.       ]
 [   8.820257    13.133867     8.578039  ...    0.           0.
     0.       ]]",Hindi
83,"[[-306.80612   -193.9014    -162.69159   ...    0.           0.
     0.       ]
 [  23.959957    67.323       89.7287    ...    0.           0.
     0.       ]
 [ -41.278732   -40.052948   -47.626057  ...    0.           0.
     0.       ]
 ...
 [  17.68834      6.656125    -4.2745056 ...    0.           0.
     0.       ]
 [  12.151041     4.218948    -9.655785  ...    0.           0.
     0.       ]
 [  13.44149     12.995295     6.750706  ...    0.           0.
     0.       ]]",Hindi
84,"[[-652.84625   -644.4084    -639.66644   ...    0.           0.
     0.       ]
 [   3.0912986    5.808882    17.174702  ...    0.           0.
     0.       ]
 [ -13.707048   -18.774776    -6.633079  ...    0.           0.
     0.       ]
 ...
 [ -10.860671   -14.289688   -12.282361  ...    0.           0.
     0.       ]
 [  -5.6194296   -6.864171    -6.1814137 ...    0.           0.
     0.       ]
 [   8.322977     8.132005     4.0864487 ...    0.           0.
     0.       ]]",Hindi
85,"[[-637.2602    -582.73425   -424.31396   ...    0.           0.
     0.       ]
 [ -12.777727   -17.80465     85.47411   ...    0.           0.
     0.       ]
 [ -65.1685     -66.77142    -71.93295   ...    0.           0.
     0.       ]
 ...
 [   5.333514     6.965148    24.361176  ...    0.           0.
     0.       ]
 [ -10.789317   -10.040562    10.569305  ...    0.           0.
     0.       ]
 [ -12.327385    -8.954888     1.2182658 ...    0.           0.
     0.       ]]",Hindi
86,"[[-246.50923   -115.09861   -100.54224   ...    0.           0.
     0.       ]
 [ 104.9138      95.448746    86.3226    ...    0.           0.
     0.       ]
 [ -11.426849   -19.097042   -22.344791  ...    0.           0.
     0.       ]
 ...
 [  12.516632     9.836177    10.755291  ...    0.           0.
     0.       ]
 [  -5.700803    -6.4335876   -5.839843  ...    0.           0.
     0.       ]
 [  -4.6789284   -2.0280602    2.7868898 ...    0.           0.
     0.       ]]",Hindi
87,"[[-311.44562   -224.062     -195.5341    ...    0.           0.
     0.       ]
 [   3.3204877   22.511421    14.71763   ...    0.           0.
     0.       ]
 [  18.285133    20.743683    18.01495   ...    0.           0.
     0.       ]
 ...
 [ -15.47328    -19.726013   -22.377432  ...    0.           0.
     0.       ]
 [  -8.873388   -13.250412   -14.28327   ...    0.           0.
     0.       ]
 [   3.7920103    2.2761192   -2.45726   ...    0.           0.
     0.       ]]",Hindi
88,"[[-251.3745    -168.37305   -178.5405    ...    0.           0.
     0.       ]
 [  74.380554    52.69933     36.712124  ...    0.           0.
     0.       ]
 [ -19.686394   -24.24065    -29.177055  ...    0.           0.
     0.       ]
 ...
 [  -4.371836    -4.7997627   -5.4982524 ...    0.           0.
     0.       ]
 [ -11.261574    -8.401079    -3.636686  ...    0.           0.
     0.       ]
 [   5.803638     5.234722     3.6951232 ...    0.           0.
     0.       ]]",Hindi
89,"[[-592.9423    -530.2102    -520.6374    ...    0.           0.
     0.       ]
 [  28.139584    99.62985    109.341934  ...    0.           0.
     0.       ]
 [  19.75644     54.39572     57.31662   ...    0.           0.
     0.       ]
 ...
 [   9.075647    12.305025    12.261185  ...    0.           0.
     0.       ]
 [   6.494898     7.1346154    8.095446  ...    0.           0.
     0.       ]
 [   2.7035224    2.7420845    5.185746  ...    0.           0.
     0.       ]]",Hindi
90,"[[-432.441      -325.29514    -331.07977    ...    0.
     0.            0.        ]
 [ 128.43619     128.8197      112.42025    ...    0.
     0.            0.        ]
 [ -53.844933    -56.394505    -50.30133    ...    0.
     0.            0.        ]
 ...
 [   4.7548265     2.0858552     0.98168564 ...    0.
     0.            0.        ]
 [ -11.465189     -5.791292     -2.2024512  ...    0.
     0.            0.        ]
 [   0.43453243    4.3411217    10.838369   ...    0.
     0.            0.        ]]",Hindi
91,"[[-850.6075    -768.3688    -740.64166   ...    0.           0.
     0.       ]
 [  41.11938     37.178944    59.360603  ...    0.           0.
     0.       ]
 [ -22.944622   -17.835033    -6.482567  ...    0.           0.
     0.       ]
 ...
 [ -10.162502    -7.014971     5.6136036 ...    0.           0.
     0.       ]
 [  15.302756    15.447545    18.581055  ...    0.           0.
     0.       ]
 [   3.4190993    3.0905585    1.5815243 ...    0.           0.
     0.       ]]",Hindi
92,"[[-170.25847    -104.47399    -139.47935    ...    0.
     0.            0.        ]
 [ 134.7239      115.95419     102.79712    ...    0.
     0.            0.        ]
 [ -42.922504    -40.24357     -36.484066   ...    0.
     0.            0.        ]
 ...
 [   8.789922      6.6513805     5.2974415  ...    0.
     0.            0.        ]
 [  -2.5624957    -0.96211445    3.5448904  ...    0.
     0.            0.        ]
 [   5.1700373    12.314611     21.412315   ...    0.
     0.            0.        ]]",Hindi
93,"[[-245.61218   -113.57858    -81.45341   ...    0.           0.
     0.       ]
 [ 153.44104    145.23557    138.23529   ...    0.           0.
     0.       ]
 [ -34.135963   -43.099983   -60.095024  ...    0.           0.
     0.       ]
 ...
 [   0.8701565    4.8866615   -2.9148006 ...    0.           0.
     0.       ]
 [  -9.902451   -10.146756    -8.794754  ...    0.           0.
     0.       ]
 [ -11.295285   -15.827717   -19.88694   ...    0.           0.
     0.       ]]",Hindi
94,"[[-5.4217297e+02 -5.0373642e+02 -4.8623785e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.9126475e+00  5.0535416e+01  7.1706345e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.4183385e+00  3.5000397e+01  4.7724350e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [ 1.2326114e+00 -1.3541833e-01 -1.3681564e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 6.9910502e-01 -2.2416902e+00 -2.0944052e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 8.6993083e-02 -4.1933880e+00 -2.6615777e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
95,"[[-591.2072    -589.7286    -581.8432    ...    0.           0.
     0.       ]
 [   0.           2.0895863   13.143786  ...    0.           0.
     0.       ]
 [   0.           2.0849802   12.853806  ...    0.           0.
     0.       ]
 ...
 [   0.           1.6753494    4.7443833 ...    0.           0.
     0.       ]
 [   0.           1.6287259    4.370096  ...    0.           0.
     0.       ]
 [   0.           1.580278     3.9340923 ...    0.           0.
     0.       ]]",Hindi
96,"[[-4.0205432e+02 -3.7980396e+02 -4.2043558e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 1.1261557e+02  1.1751938e+02  1.0387901e+02 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-8.2796143e+01 -8.5477341e+01 -7.0061111e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 ...
 [-2.3660934e+00 -2.2847933e-01  4.7869987e+00 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [-7.2870498e+00  1.1992831e+00  1.0079363e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]
 [ 9.5677215e-01  3.9826589e+00  1.4559500e+01 ...  0.0000000e+00
   0.0000000e+00  0.0000000e+00]]",Hindi
